src/features/gantt/domain/summaries.ts(21,19): error TS2554: Expected 1 arguments, but got 0.
src/features/gantt/domain/summaries.ts(22,17): error TS2554: Expected 1 arguments, but got 0.
src/features/gantt/domain/summaries.ts(63,17): error TS2554: Expected 1 arguments, but got 0.
src/features/gantt/domain/summaries.ts(67,17): error TS2554: Expected 1 arguments, but got 0.
src/features/gantt/domain/summaries.ts(72,17): error TS2554: Expected 1 arguments, but got 0.
src/features/gantt/domain/summaries.ts(77,24): error TS2554: Expected 1 arguments, but got 0.
src/features/gantt/domain/summaries.ts(79,24): error TS2554: Expected 1 arguments, but got 0.
src/features/gantt/domain/summaries.ts(80,22): error TS2554: Expected 1 arguments, but got 0.
src/features/gantt/presentation/components/TaskRow.tsx(169,25): error TS2554: Expected 1 arguments, but got 0.
src/features/gantt/presentation/components/TaskRow.tsx(170,27): error TS2554: Expected 1 arguments, but got 0.
src/features/gantt/presentation/hooks/useGanttTimeline.ts(24,34): error TS2554: Expected 1 arguments, but got 0.
src/features/gantt/presentation/hooks/useGanttTimeline.ts(25,30): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/domain/accumulation.ts(25,20): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/domain/accumulation.ts(26,18): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/domain/accumulation.ts(44,41): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/domain/accumulation.ts(48,39): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/domain/accumulation.ts(49,14): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/domain/accumulation.ts(78,17): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/domain/accumulation.ts(81,17): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/domain/weighting.ts(14,37): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/domain/weighting.ts(14,51): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(97,92): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(97,106): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(110,51): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(110,65): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(120,24): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(177,31): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(178,29): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(451,154): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(451,168): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(452,202): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(452,216): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(456,42): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(456,68): error TS2554: Expected 1 arguments, but got 0.
src/features/scurve/presentation/components/SCurveChart.tsx(456,103): error TS2554: Expected 1 arguments, but got 0.
